"Date","Distance","Duration","Activity","Avg.HR","Steps","Cal.Burned"
2020-03-14,3.51,1800,"Run",149,4844,457
2020-03-13,3.54,1800,"Run",149,4848,459
2020-03-11,3.64,1800,"Run",149,4864,467
2020-03-10,3.63,1800,"Run",149,4862,467
2020-03-09,3.47,1800,"Run",149,4838,452
2020-03-08,3.1,1466,"Run",149,3982,390
2020-03-07,7.5,4009,"Run",157,10882,756
2020-03-06,3.75,1800,"Run",149,4881,477
2020-03-05,3.65,1800,"Run",149,4865,468
2020-03-04,3.63,1800,"Run",149,4862,467
2020-03-03,3.1,1551,"Run",149,4185,400
2020-03-02,3.31,1731,"Run",149,4648,431
2020-03-01,3.1,1518,"Run",149,4149,397
2020-02-29,3.65,1800,"Run",149,4865,468
2020-02-26,1.4,674,"Run",149,1587,178
2020-02-24,3.1,1648,"Run",149,4417,403
2020-02-23,3.1,1475,"Run",164,4063,292
2020-02-22,3.1,1544,"Run",149,4169,399
2020-02-21,3.56,1800,"Run",149,4851,461
2020-02-20,7.32,3720,"Run",149,10021,949
2020-02-18,3.46,1800,"Run",149,4836,450
2020-02-17,3.1,1645,"Run",149,4410,403
2020-02-16,3.1,1613,"Run",149,4350,403
2020-02-15,3.89,2014,"Run",149,5414,506
2020-02-12,3.36,1791,"Run",149,4799,437
2020-02-11,3.15,1800,"Run",149,4789,419
2020-02-09,3.19,1800,"Run",149,4795,422
2020-02-05,3.22,1800,"Run",149,4799,424
2020-02-04,3.52,2065,"Run",149,5479,472
2020-02-02,3.13,1675,"Run",149,4486,407
2020-01-29,3.61,2133,"Run",149,5656,486
2020-01-28,4.86,2609,"Run",149,6986,631
2020-01-27,3.38,2100,"Run",149,5541,464
2020-01-26,3.36,2100,"Run",149,5538,462
2020-01-25,3.33,2100,"Run",149,5534,460
2020-01-24,3.49,2100,"Run",149,5558,473
2020-01-20,4.21,2704,"Run",149,7113,585
2020-01-18,3.22,2100,"Run",149,5517,451
2020-01-17,3.4,2143,"Run",149,5647,469
2020-01-16,2.89,1754,"Run",149,4639,393
2020-01-11,2.02,1869,"Walk",149,3883,204
2020-01-10,3.27,2173,"Run",149,5699,461
2020-01-08,3.4,2100,"Run",149,5544,465
2020-01-06,2.92,2100,"Run",149,5471,402
2020-01-05,3.57,2100,"Run",149,5570,480
2020-01-04,3.52,2112,"Run",149,5592,476
2020-01-01,3.1,1670,"Run",149,4573,403
2019-12-30,3.63,2003,"Run",148,5478,476
2019-12-28,1.5,1249,"Run",123,2376,182
2019-12-27,3.1,1796,"Run",146,4806,414
2019-12-25,3.1,1623,"Run",149,4393,403
2019-12-20,3.1,2102,"Run",149,5503,441
2019-11-29,3.1,1628,"Run",161,4482,403
2019-11-28,3,1810,"Run",149,4823,407
2019-11-18,2.06,1089,"Run",149,2944,268
2019-11-12,3.17,2006,"Run",169,8,438
2019-11-10,1.94,1399,"Walk",149,3310,267
2019-11-09,0,120,"Gym Workout",149,4674.5,22
2019-11-03,3,1873,"Run",149,4940,412
2019-11-02,3.09,2100,"Run",149,5497,440
2019-10-27,0.95,2578,"Walk",149,1575,134
2019-10-26,2.67,2040,"Run",144,4126,355
2019-10-22,2.01,1066,"Run",158,2847,262
2019-10-19,2.46,2330,"Run",119,3406,254
2019-10-14,1.71,858,"Run",153,2369,221
2019-10-06,1.44,4696,"Walk",149,6328,225
2019-10-05,3.26,2832,"Run",149,7274,364
2019-09-29,2.19,1321,"Run",149,3188,297
2019-09-22,2.08,1768,"Run",117,3555,243
2019-09-15,1.02,979,"Walk",149,1908,105
2019-09-14,1.66,1697,"Walk",149,3008,169
2019-09-12,2.6,2099,"Run",149,4530,332
2019-09-09,1.84,1184,"Run",122,2809,177
2019-09-07,3.01,1700,"Run",149,3209,398
2019-09-04,2.51,1488,"Run",141,3772,235
2019-08-31,4.28,3708,"Run",130,7187,520
2019-08-30,1.17,1258,"Walk",128,2386,118
2019-08-25,3.23,2596,"Run",97,5272,415
2019-08-24,4,2236,"Run",149,6278,527
2019-08-22,1.7,2247,"Walk",149,3985,167
2019-08-21,0.4,475,"Walk",149,880,39
2019-08-18,1,523,"Run",149,1436,131
2019-08-15,0.96,3201,"Walk",149,1861,152
2019-08-14,1.12,1262,"Walk",149,2392,111
2019-08-13,0.55,1066,"Walk",149,1650,66
2019-08-11,1.86,3370,"Walk",149,5323,217
2019-08-10,0.98,1301,"Walk",149,2304,96
2019-08-08,0.26,241,"Walk",117,438,19
2019-08-07,0.83,1537,"Walk",149,2406,97
2019-08-04,2.58,3449,"Walk",149,6079,253
2019-08-03,2.03,1602,"Walk",149,3612,265
2019-08-01,1.45,1572,"Walk",149,3027,145
2019-07-30,2.04,1054,"Run",149,2834,266
2019-07-29,1.15,1281,"Walk",149,2342,114
2019-07-28,1.89,2285,"Walk",149,4204,183
2019-07-27,4.2,5004,"Walk",149,9253,407
2019-07-25,3.1,1720,"Run",149,4711,407
2019-07-23,3.1,1859,"Run",149,5096,419
2019-07-21,1,1190,"Walk",149,2119,97
2019-07-20,2.04,2644,"Walk",149,4144,199
2019-07-18,0.71,774,"Walk",149,1431,71
2019-07-17,0.36,420,"Walk",149,780,35
2019-07-16,0.35,388,"Walk",120,698,35
2019-07-14,0.87,1007,"Walk",149,1748,85
2019-07-13,1.13,1217,"Walk",129,2168,101
2019-07-12,1.5,743,"Run",149,2010,193
2019-07-11,1.25,1843,"Walk",149,2382,126
2019-07-10,2.25,1055,"Run",164,2934,198
2019-07-09,0,420,"Weight Workout",149,4674.5,58
2019-07-08,0.29,333,"Walk",149,567,28
2019-07-07,0,1521,"Gym Workout",113,4674.5,124
2019-07-06,2.79,2142,"Walk",116,3723,205
2019-07-05,1.64,1644,"Walk",128,3063,153
2019-07-04,1.61,1942,"Walk",120,3103,161
2019-07-02,0,420,"Weight Workout",149,4674.5,58
2019-07-01,1.8,1762,"Walk",149,3562,184
2019-06-29,1.47,1966,"Walk",123,2363,138
2019-06-28,3.41,3226,"Walk",149,6630,351
2019-06-25,3.36,3278,"Walk",149,6638,345
2019-06-24,3.1,2996,"Walk",149,6,318
2019-06-17,0,420,"Weight Workout",149,4674.5,58
2019-06-16,0,1560,"Weight Workout",149,4674.5,215
2019-06-14,0,1560,"Weight Workout",149,4674.5,215
2019-06-12,2.09,1962,"Run",111,3819,215
2019-06-11,1.04,1045,"Walk",149,1831,106
2019-06-10,2.78,2458,"Walk",149,4676,299
2019-06-09,2.88,2986,"Walk",73,5876,293
2019-06-08,1.57,1307,"Run",116,2729,190
2019-06-07,0,692,"Weight Workout",149,4674.5,96
2019-06-06,3.13,3064,"Walk",149,55,321
2019-06-05,0,600,"Weight Workout",149,4674.5,83
2019-06-03,2.99,2764,"Walk",149,5745,309
