screen_name,text,location,latitude,longitude
stevennich,"So your idea of a hero is someone who murders babies because they can't afford a condom? Roe, Roe, Roe your boat ge… https://t.co/5zXYGcFjP1","Johannesburg, South Africa",-26.205,28.049722
SteveMillerOC,"Democrats overstated the effects of overturning Roe, implying it meant outlawing abortion rather than allowing some… https://t.co/rNtSsarYuJ","Irvine, California ",33.6856969,-117.8259819
openbusinesshq,#Blockchain It’s not too late to address Roe v. Wade with your employees—here’s how https://t.co/TVs3sk7FAG via @qz,Worldwide,53.5120412,-2.2434612
CaliforniaPubl1,Democrats used to avoid talking about abortion with Latino voters. Then Roe was overturned https://t.co/5Zn7FrxJOs,Cal,39.0565974,16.5249864
RaulAReyes,"#Democrats used to avoid talking about #abortion with #Latino voters. Then Roe was overturned.

https://t.co/nw14R5Pdpi",New York NY,40.7306458,-73.9866136
Resist_4_Life54,"@RichardGrenell There is No Red Wave. However there sure as hell is a Roe, Roe, Roe your vote! #WomensRights will not be lost!",San Francisco CA USA,37.7791185,-122.4138641
harrisj,"@paleofuture Old enough to not get pregnant, young enough to not really remember what it was like before Roe v. Wade, it's embarrassing.","Takoma Park, MD",38.9778882,-77.0074765
john_holiness,Overturning Roe v Wade and abortion is just the beginning. They are going after contraceptives and birth control ne… https://t.co/9uYYC8h928,"Dawsonville, GA",34.4212053,-84.1190804
acyork1887,Leave it to the drug companies to find the quickest path to codify Roe v Wade (and profit from it) despite the #GOP… https://t.co/jOZJQo1pSu,USA!  USA!  USA!,40.4978545,-74.7569311
bradley4raleigh,"We are so pleased to share that we have received @VoteChoice's endorsement! After the overturning of Roe v. Wade, i… https://t.co/SkzvAWhkYw","Raleigh, NC",35.7803977,-78.6390989
diego14_john,@DumpRetie Roe anne?,Bahay,48.1932502,-0.44818
MonsterManGrips,"@dystopian_usa @johnrich Where does it say in the Bill of Rights that abortion is a civil right?

RGB said Roe was… https://t.co/J4M2Ia7qB0",USA,39.7837304,-100.4458825
Witcher_Gwen,Roevember roe roe roe your vote.,Indiana,40.3270127,-86.1746933
DanHogan95,@BillKristol I can't imagine anyone can reasonably know the real impact of the Roe v Wade reversal.,"Baltimore, MD",39.2908816,-76.610759
CarlataOld,"@wrichars @djrothkopf This is not true. There are explicit plans to codify Roe, solidify voting rights, limit what… https://t.co/5jV6iNvGvW",Pacific Northwest,40.737599,-73.254814
BourbonPlanner,"@TruckFriends @DFRSH757 @ChugzytTears Oh? I read that as a rhetorical question.

I could certainly research the RoE… https://t.co/VE08uPZoov","Milwaukee, WI",43.0349931,-87.922497
stratosphere53,Supreme Court Refuses To Provide Update On Who Leaked 'Roe' Draft https://t.co/CZwtURJ5bu,Atlanta,33.7490987,-84.3901849
KnightHarvey3,Point: Overturning Roe will force suburban swing voters back into the arms of Democrats. The women who voted for Yo… https://t.co/BuMYkei1ml,"Frisco, TX",33.1506744,-96.8236116
anserecology,"If weather conditions and surveys allow, I'll often carry my camera with me. You often chance upon Roe Deer in the… https://t.co/hTMwjc0rPx",Greater Manchester,53.50652485,-2.33744014225767
dyaitkitkencod,as the state and federal government. Roe and its progeny have wounded the,Sweden,59.6749712,14.5208584
Billyjack0845,@dkdenniston @newsmax Roe vs wade was NOT a compromise!!!!!! And the Democratic Party does support the murder of babies!,"Texas, USA",31.8160381,-99.5120986
GigiStratton,"@FLINTLOCKBEAST 4./FLINTLOCKBEAST, I’ve discussed health issues re: illegal abortions in decades pre-Roe v Wade wit… https://t.co/hBySVmmSDz",Atlanta Ga,33.7490987,-84.3901849
stratosphere53,Supreme Court Refuses To Provide Update On Who Leaked 'Roe' Draft https://t.co/CZwtURqVXm,Atlanta,33.7490987,-84.3901849
Nms11x,@Phhtttttt @Pythagoras1947 @WSJ I’ve listened to half the oral arguments from Roe. It fell under several amendments… https://t.co/exG0Fw42vz,Oklahoma,34.9550817,-97.2684063
Eclipstweets,"MD, Aaron Kernaghan, and Ops Director, Darren Roe, first grew the #business focusing on #Netbotz #installations. Ex… https://t.co/eJTslNRu4n","Bromsgrove, Worcestershire",52.3390519,-2.05320179924462
RatKing_AllHail,My one critique of this film is that it didn't represent trans voices. The overturning of Roe v. Wade effects us to… https://t.co/TAKmWI23mm,"Brooklyn, NY",40.6501038,-73.9495823
Petecarma,@robreiner You mean like we held it last time to protect Roe v Wade... And voting rights?,"NY, Chicago.",50.4814636,19.4281228
