Start Time (UTC),Positivity,Energy,Duration (ms),Sequence,Positivity/Energy Bin,Descriptors
2021-09-24T00:40:00.0Z,52,46,3800.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-24T00:40:04.0Z,53,51,1970.0,0.0,Neutral,"[interested, curious, focused]"
2021-09-24T00:40:07.0Z,54,48,1140.0,0.0,Neutral,"[focused, interested, content]"
2021-09-24T00:40:11.0Z,91,60,3810.0,0.0,Happy,"[amused, happy, friendly]"
2021-09-24T00:40:20.0Z,54,49,3330.0,0.0,Neutral,"[amused, carefree, friendly]"
2021-09-24T00:40:59.0Z,51,46,4490.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-24T00:41:08.0Z,51,48,4440.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-24T00:10:03.0Z,50,27,1140.0,0.0,Sad,"[restrained, calm, bored]"
2021-09-23T22:17:51.0Z,51,42,3560.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-23T22:17:58.0Z,50,48,2910.0,0.0,Neutral,"[interested, hesitant, skeptical]"
2021-09-23T22:18:20.0Z,46,47,4330.0,0.0,Neutral,"[overbearing, stern, focused]"
2021-09-23T22:18:32.0Z,47,40,1550.0,0.0,Neutral,"[hesitant, unconfident, shy]"
2021-09-23T22:18:37.0Z,50,44,2930.0,0.0,Neutral,"[hesitant, calm, restrained]"
2021-09-23T22:18:45.0Z,52,43,3600.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-23T22:18:54.0Z,51,42,4720.0,0.0,Neutral,"[focused, calm, interested]"
2021-09-23T22:07:57.0Z,50,36,2100.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-23T22:08:13.0Z,49,37,1920.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-23T21:48:14.0Z,53,50,4950.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-23T21:48:30.0Z,50,48,3270.0,0.0,Neutral,"[interested, focused, hesitant]"
2021-09-23T21:48:33.0Z,58,49,3850.0,0.0,Neutral,"[interested, curious, focused]"
2021-09-23T21:48:53.0Z,50,49,5190.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-23T21:49:18.0Z,55,50,3900.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-23T21:38:06.0Z,49,33,2580.0,0.0,Sad,"[restrained, calm, disinterested]"
2021-09-23T21:38:09.0Z,52,47,2030.0,0.0,Neutral,"[interested, focused, hesitant]"
2021-09-23T21:38:14.0Z,49,38,2430.0,0.0,Neutral,"[calm, restrained, bored]"
2021-09-23T21:38:20.0Z,56,45,2250.0,0.0,Neutral,"[carefree, amused, relaxed]"
2021-09-23T21:38:23.0Z,51,37,1350.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-23T21:38:24.0Z,52,45,9390.0,0.0,Neutral,"[focused, interested, knowledgeable]"
2021-09-23T21:38:34.0Z,51,47,5160.0,0.0,Neutral,"[focused, interested, hesitant]"
2021-09-23T21:38:39.0Z,49,45,7040.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-23T21:39:09.0Z,55,49,1820.0,0.0,Neutral,"[confident, focused, overbearing]"
2021-09-23T21:39:11.0Z,48,45,1970.0,0.0,Neutral,"[skeptical, curious, interested]"
2021-09-23T21:28:05.0Z,47,37,1750.0,0.0,Neutral,"[disinterested, calm, restrained]"
2021-09-23T21:28:17.0Z,48,34,2960.0,0.0,Sad,"[restrained, calm, disinterested]"
2021-09-23T21:28:50.0Z,46,48,1340.0,0.0,Neutral,"[uncomfortable, hesitant, unconfident]"
2021-09-23T21:28:51.0Z,54,49,3180.0,0.0,Neutral,"[interested, curious, focused]"
2021-09-23T21:29:04.0Z,51,47,2940.0,0.0,Neutral,"[interested, focused, hesitant]"
2021-09-23T21:29:14.0Z,51,48,2460.0,0.0,Neutral,"[interested, focused, knowledgeable]"
2021-09-23T21:29:16.0Z,51,45,1900.0,0.0,Neutral,"[focused, interested, calm]"
2021-09-23T21:29:26.0Z,50,43,2730.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-23T21:18:04.0Z,50,37,1990.0,0.0,Neutral,"[calm, restrained, relaxed]"
2021-09-23T21:18:07.0Z,50,42,2090.0,0.0,Neutral,"[calm, relaxed, restrained]"
2021-09-23T21:18:25.0Z,51,44,3770.0,0.0,Neutral,"[focused, knowledgeable, interested]"
2021-09-23T21:18:29.0Z,50,38,2400.0,0.0,Neutral,"[calm, focused, restrained]"
2021-09-23T21:18:31.0Z,49,45,1310.0,0.0,Neutral,"[focused, calm, relaxed]"
2021-09-23T21:18:54.0Z,52,43,1710.0,0.0,Neutral,"[interested, focused, calm]"
