Start Time (UTC),End Time (UTC),Phone Model,App Version,OS,OS Version,Session Subtype,Positivity,Energy,Number of Utterances,Descriptors,Overall Positivity/Energy Bin,Positivity/Energy Bin Distribution,Amount of Speech (ms),Utterance Start Times
2021-09-23T21:18:00.0Z,2021-09-23T21:19:27.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,42,9,"[focused, calm, relaxed]",Neutral,"[Happy - 0, Calm - 0, Neutral - 9, Sad - 0, Angry - 0]",87000.0,"[2021-09-23T21:18:04.0Z, 2021-09-23T21:18:07.0Z, 2021-09-23T21:18:25.0Z, 2021-09-23T21:18:29.0Z, 2021-09-23T21:18:31.0Z, 2021-09-23T21:18:54.0Z, 2021-09-23T21:18:57.0Z, 2021-09-23T21:19:02.0Z, 2021-09-23T21:19:18.0Z]"
2021-09-23T20:38:09.0Z,2021-09-23T20:39:17.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,49,49,1,"[apologetic, caring, polite]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",68000.0,[2021-09-23T20:39:21.0Z]
2021-09-23T19:58:17.0Z,2021-09-23T19:59:46.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,39,1,"[focused, calm, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",89000.0,[2021-09-23T19:59:31.0Z]
2021-09-23T19:08:28.0Z,2021-09-23T19:09:58.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,45,46,6,"[focused, condescending, hesitant]",Neutral,"[Happy - 0, Calm - 0, Neutral - 5, Sad - 1, Angry - 0]",90000.0,"[2021-09-23T19:08:30.0Z, 2021-09-23T19:08:34.0Z, 2021-09-23T19:08:38.0Z, 2021-09-23T19:08:41.0Z, 2021-09-23T19:09:43.0Z, 2021-09-23T19:09:54.0Z]"
2021-09-23T18:58:30.0Z,2021-09-23T19:00:00.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,46,7,"[appreciative, focused, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 7, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T18:59:25.0Z, 2021-09-23T18:59:32.0Z, 2021-09-23T18:59:34.0Z, 2021-09-23T18:59:36.0Z, 2021-09-23T18:59:39.0Z, 2021-09-23T18:59:44.0Z, 2021-09-23T18:59:54.0Z]"
2021-09-23T18:38:35.0Z,2021-09-23T18:39:53.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,47,6,"[affectionate, focused, curious]",Neutral,"[Happy - 0, Calm - 0, Neutral - 6, Sad - 0, Angry - 0]",78000.0,"[2021-09-23T18:39:33.0Z, 2021-09-23T18:39:49.0Z, 2021-09-23T18:38:39.0Z, 2021-09-23T18:38:45.0Z, 2021-09-23T18:38:58.0Z, 2021-09-23T18:39:13.0Z]"
2021-09-23T18:28:37.0Z,2021-09-23T18:30:07.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,46,5,"[focused, calm, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 5, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T18:29:04.0Z, 2021-09-23T18:29:07.0Z, 2021-09-23T18:29:09.0Z, 2021-09-23T18:29:18.0Z, 2021-09-23T18:29:33.0Z]"
2021-09-23T18:08:42.0Z,2021-09-23T18:10:12.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,47,7,"[focused, interested, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 7, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T18:08:45.0Z, 2021-09-23T18:08:59.0Z, 2021-09-23T18:09:03.0Z, 2021-09-23T18:09:23.0Z, 2021-09-23T18:09:27.0Z, 2021-09-23T18:09:30.0Z, 2021-09-23T18:09:51.0Z]"
2021-09-23T17:58:44.0Z,2021-09-23T18:00:00.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,45,2,"[focused, curious, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",76000.0,"[2021-09-23T17:58:44.0Z, 2021-09-23T17:59:29.0Z]"
2021-09-23T17:48:46.0Z,2021-09-23T17:50:16.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,48,2,"[focused, curious, interested]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T17:50:03.0Z, 2021-09-23T17:50:06.0Z]"
2021-09-23T17:38:48.0Z,2021-09-23T17:40:18.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,48,41,2,"[focused, calm, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T17:38:49.0Z, 2021-09-23T17:38:52.0Z]"
2021-09-23T17:28:50.0Z,2021-09-23T17:30:20.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,50,37,1,"[calm, relaxed, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 1, Sad - 0, Angry - 0]",90000.0,[2021-09-23T17:30:00.0Z]
2021-09-23T17:18:53.0Z,2021-09-23T17:20:23.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,54,46,2,"[focused, interested, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 2, Sad - 0, Angry - 0]",90000.0,"[2021-09-23T17:19:30.0Z, 2021-09-23T17:19:49.0Z]"
2021-09-23T17:08:55.0Z,2021-09-23T17:10:20.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,49,42,4,"[focused, calm, hesitant]",Neutral,"[Happy - 0, Calm - 0, Neutral - 4, Sad - 0, Angry - 0]",85000.0,"[2021-09-23T17:08:55.0Z, 2021-09-23T17:09:23.0Z, 2021-09-23T17:09:26.0Z, 2021-09-23T17:09:32.0Z]"
2021-09-23T16:29:04.0Z,2021-09-23T16:30:24.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,45,3,"[focused, interested, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 3, Sad - 0, Angry - 0]",80000.0,"[2021-09-23T16:29:09.0Z, 2021-09-23T16:29:14.0Z, 2021-09-23T16:29:19.0Z]"
2021-09-23T15:59:10.0Z,2021-09-23T16:00:29.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,44,3,"[focused, calm, curious]",Neutral,"[Happy - 0, Calm - 0, Neutral - 3, Sad - 0, Angry - 0]",79000.0,"[2021-09-23T15:59:49.0Z, 2021-09-23T15:59:55.0Z, 2021-09-23T16:00:08.0Z]"
2021-09-23T15:39:13.0Z,2021-09-23T15:40:30.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,49,32,3,"[bored, hesitant, restrained]",Sad,"[Happy - 0, Calm - 1, Neutral - 2, Sad - 0, Angry - 0]",77000.0,"[2021-09-23T15:40:33.0Z, 2021-09-23T15:40:39.0Z, 2021-09-23T15:39:13.0Z]"
2021-09-23T15:19:18.0Z,2021-09-23T15:20:17.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,51,46,4,"[focused, interested, knowledgeable]",Neutral,"[Happy - 0, Calm - 0, Neutral - 4, Sad - 0, Angry - 0]",59000.0,"[2021-09-23T15:19:20.0Z, 2021-09-23T15:19:24.0Z, 2021-09-23T15:20:24.0Z, 2021-09-23T15:20:36.0Z]"
2021-09-23T15:09:20.0Z,2021-09-23T15:10:37.0Z,iPhone 11,1.0.86939,ios,15.0,Auto,52,44,6,"[focused, calm, restrained]",Neutral,"[Happy - 0, Calm - 0, Neutral - 6, Sad - 0, Angry - 0]",77000.0,"[2021-09-23T15:09:35.0Z, 2021-09-23T15:09:47.0Z, 2021-09-23T15:09:53.0Z, 2021-09-23T15:10:03.0Z, 2021-09-23T15:10:25.0Z, 2021-09-23T15:10:30.0Z]"
