Start Time,End Time,Session Type,Session Subtype,Creation Method,Local Time Zone Offset,Activity Score,Intense Duration (ms),Moderate Duration (ms),Max Heart Rate (bpm),Average Heart Rate (bpm),Steps,Calories,Software Version,Software OS,Software OS Version,Active Time (ms),Total Duration (ms),Activity Pause,Session Source
2022-05-08T19:40:19.123Z,2022-05-08T19:51:46.208Z,WORKOUT,WALKING,Automatic,-5.0,4.322570833333334,No Data,240000.0,106.0,95.0,702.0,83.0,1.0.109384,ios,15.5,687085.0,687085.0,Not Applicable,User Logged
2022-05-08T18:54:21.327Z,2022-05-08T19:27:16.651Z,WORKOUT,RUNNING,Automatic,-5.0,54.35974416666667,1380000.0,496651.0,167.0,142.0,4400.0,531.0,1.0.109384,ios,15.5,1975324.0,1975324.0,Not Applicable,User Logged
2022-05-07T22:26:35.963Z,2022-05-07T22:39:14.976Z,WORKOUT,WALKING,Automatic,-5.0,0.5700308333333334,No Data,No Data,102.0,87.0,870.0,69.0,1.0.109384,ios,15.5,759013.0,759013.0,Not Applicable,User Logged
2022-05-07T19:08:26.827Z,2022-05-07T19:20:36.818Z,WORKOUT,WALKING,Automatic,-5.0,10.602883333333335,No Data,633173.0,119.0,108.0,772.0,110.0,1.0.109384,ios,15.5,729991.0,729991.0,Not Applicable,User Logged
2022-05-07T18:37:27.839Z,2022-05-07T19:06:17.919Z,WORKOUT,RUNNING,Automatic,-5.0,55.834666666666664,1620000.0,110080.0,167.0,150.0,4271.0,506.0,1.0.109384,ios,15.5,1730080.0,1730080.0,Not Applicable,User Logged
2022-05-07T04:38:38.041Z,2022-05-07T04:52:34.797Z,WORKOUT,WALKING,Automatic,-5.0,10.394980833333333,No Data,621959.0,107.0,91.0,1120.0,111.0,1.0.109384,ios,15.5,836756.0,836756.0,Not Applicable,User Logged
2022-05-07T04:11:45.402Z,2022-05-07T04:38:38.034Z,WORKOUT,RUNNING,Automatic,-5.0,49.646065,1380000.0,218034.0,140.0,131.0,4124.0,384.0,1.0.109384,ios,15.5,1612632.0,1612632.0,Not Applicable,User Logged
2022-05-07T01:37:20.042Z,2022-05-07T01:47:54.319Z,WORKOUT,WALKING,Automatic,-5.0,0.43329833333333334,No Data,No Data,102.0,84.0,741.0,64.0,1.0.109384,ios,15.5,634277.0,634277.0,Not Applicable,User Logged
2022-05-06T17:10:00.000Z,2022-05-06T17:32:00.000Z,WORKOUT,OTHER,Automatic,-5.0,11.4,No Data,660000.0,118.0,100.0,936.0,142.0,1.0.109384,ios,15.5,1320000.0,1320000.0,Not Applicable,User Logged
2022-05-06T12:06:17.433Z,2022-05-06T13:08:43.318Z,WORKOUT,RUNNING,Automatic,-5.0,124.15338333333334,3703318.0,42567.0,171.0,148.0,9918.0,1093.0,1.0.109384,ios,15.5,3745885.0,3745885.0,Not Applicable,User Logged
2022-05-05T12:23:31.677Z,2022-05-05T13:08:27.310Z,WORKOUT,RUNNING,Automatic,-5.0,88.38238333333332,2607310.0,88323.0,169.0,151.0,7183.0,799.0,1.0.109384,ios,15.4,2695633.0,2695633.0,Not Applicable,User Logged
2022-05-04T00:52:26.483Z,2022-05-04T01:05:28.179Z,WORKOUT,WALKING,Automatic,-5.0,6.3014133333333335,No Data,360000.0,132.0,95.0,824.0,111.0,1.0.109384,ios,15.4,781696.0,781696.0,Not Applicable,User Logged
2022-05-03T05:31:53.838Z,2022-05-03T06:02:09.578Z,WORKOUT,RUNNING,Automatic,-5.0,57.164768333333335,1620000.0,189578.0,149.0,135.0,4396.0,448.0,1.0.109384,ios,15.4,1815740.0,1815740.0,Not Applicable,User Logged
2022-05-01T18:53:59.540Z,2022-05-01T19:14:25.062Z,WORKOUT,WALKING,Automatic,-5.0,19.078551666666666,No Data,1140460.0,116.0,107.0,1984.0,211.0,1.0.109384,ios,15.4,1225522.0,1225522.0,Not Applicable,User Logged
2022-05-01T18:21:06.729Z,2022-05-01T18:52:59.706Z,WORKOUT,RUNNING,Automatic,-5.0,60.88295,1740000.0,172977.0,170.0,155.0,4941.0,592.0,1.0.109384,ios,15.4,1912977.0,1912977.0,Not Applicable,User Logged
2022-05-01T17:03:24.411Z,2022-05-01T17:19:20.732Z,WORKOUT,WALKING,Automatic,-5.0,2.5296575,No Data,120000.0,122.0,85.0,1011.0,102.0,1.0.109384,ios,15.4,956321.0,956321.0,Not Applicable,User Logged
2022-04-30T19:02:30.311Z,2022-04-30T19:37:57.984Z,WORKOUT,WALKING,Automatic,-5.0,36.461216666666665,120000.0,1947673.0,171.0,118.0,3300.0,406.0,1.0.109384,ios,15.4,2127673.0,2127673.0,Not Applicable,User Logged
2022-04-30T18:36:37.435Z,2022-04-30T19:02:30.311Z,WORKOUT,RUNNING,Automatic,-5.0,47.523987500000004,1320000.0,210311.0,175.0,159.0,3942.0,496.0,1.0.109384,ios,15.4,1552876.0,1552876.0,Not Applicable,User Logged
2022-04-29T12:22:09.276Z,2022-04-29T13:31:35.734Z,WORKOUT,RUNNING,Automatic,-5.0,132.44096666666667,3780000.0,386458.0,160.0,145.0,10435.0,1170.0,1.0.109384,ios,15.4,4166457.9999999995,4166457.9999999995,Not Applicable,User Logged
2022-04-29T05:10:30.201Z,2022-04-29T05:40:37.639Z,WORKOUT,RUNNING,Automatic,-5.0,54.65214916666667,1500000.0,277639.0,146.0,134.0,4213.0,454.0,1.0.109384,ios,15.4,1807438.0,1807438.0,Not Applicable,User Logged
2022-04-28T13:23:00.000Z,2022-04-28T13:48:00.000Z,WORKOUT,OTHER,Automatic,-5.0,14.55,No Data,840000.0,105.0,93.0,1254.0,139.0,1.0.109384,ios,15.4,1500000.0,1500000.0,Not Applicable,User Logged
2022-04-28T12:48:29.739Z,2022-04-28T13:22:47.232Z,WORKOUT,RUNNING,Automatic,-5.0,60.543710000000004,1680000.0,270261.0,162.0,143.0,4922.0,558.0,1.0.109384,ios,15.4,2057493.0,2057493.0,Not Applicable,User Logged
2022-04-27T19:46:00.000Z,2022-04-27T19:57:00.000Z,WORKOUT,OTHER,Automatic,-5.0,10.1,60000.0,480000.0,140.0,103.0,439.0,82.0,1.0.109384,ios,15.4,660000.0,660000.0,Not Applicable,User Logged
2022-04-27T13:10:33.603Z,2022-04-27T13:38:00.000Z,WORKOUT,OTHER,Automatic,-5.0,6.8719975,No Data,360000.0,109.0,90.0,1144.0,121.0,1.0.109384,ios,15.4,1646397.0,1646397.0,Not Applicable,User Logged
2022-04-27T12:23:09.475Z,2022-04-27T13:00:23.969Z,WORKOUT,RUNNING,Automatic,-5.0,66.9120575,1920000.0,170525.0,165.0,145.0,5404.0,612.0,1.0.109384,ios,15.4,2234494.0,2234494.0,Not Applicable,User Logged
2022-04-25T12:27:32.929Z,2022-04-25T13:03:35.741Z,WORKOUT,RUNNING,Automatic,-5.0,60.12255916666667,1620000.0,360000.0,166.0,140.0,5086.0,565.0,1.0.107826,ios,15.4,2162812.0,2162812.0,Not Applicable,User Logged
2022-04-24T20:12:02.337Z,2022-04-24T20:47:37.482Z,WORKOUT,RUNNING,Automatic,-5.0,62.672752499999994,1680000.0,397482.0,141.0,127.0,4918.0,485.0,1.0.107826,ios,15.4,2135145.0,2135145.0,Not Applicable,User Logged
2022-04-23T05:57:36.270Z,2022-04-23T06:29:02.484Z,WORKOUT,RUNNING,Automatic,-5.0,58.061175000000006,1620000.0,242484.0,145.0,134.0,4585.0,470.0,1.0.107826,ios,15.4,1886214.0,1886214.0,Not Applicable,User Logged
2022-04-22T04:25:46.584Z,2022-04-22T04:57:41.491Z,WORKOUT,RUNNING,Automatic,-5.0,57.74151666666666,1620000.0,221491.0,144.0,130.0,4626.0,455.0,1.0.107826,ios,15.4,1914907.0,1914907.0,Not Applicable,User Logged
