Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
2022-06-16,2022-06-17,Run,315,2.33,1391,9.94993,0,6.03019,0,142,3684,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6652076194
2022-06-15,2022-06-15,Run,405,3.1,1691,9.0914,0,6.59965,0,142,4520,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6649778854
2022-06-12,2022-06-12,Run,428,3.09762,1955,10.5163,3,5.70545,20,142,5052,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6641879077
2022-06-10,2022-06-10,Run,881,6.20257,4182,11.2337,1,5.34108,100,153,10479,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6636951754
2022-06-09,2022-06-08,Run,407,3.11,1702,9.12111,0,6.57814,0,153,4548,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6634375492
2022-06-06,2022-06-06,Run,590,4.50165,2924,10.8223,1,5.54409,52,145,7739,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6627675232
2022-06-05,2022-06-05,Walk,253,1.88061,2402,21.277,2,2.81995,33,109,3994,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6626435206
2022-06-05,2022-06-05,Run,302,2.43575,1487,10.1722,0,5.89844,132,148,3889,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6626366014
2022-06-04,2022-06-04,Run,856,6.24228,3946,10.5333,1,5.6962,56,156,10427,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6623599279
2022-06-03,2022-06-03,Run,397,3.10851,1864,9.98908,1,6.00656,63,152,4863,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6621191320
2022-05-31,2022-06-01,Run,416,3.1,1817,9.76882,0,6.14199,0,142,4822,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6615977731
2022-05-31,2022-05-31,Run,546,4.08,2377,9.70997,1,6.17922,47,145,4048,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6615791770
2022-05-30,2022-05-30,Run,418,3.10044,1873,10.0597,0,5.96441,132,159,4873,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6612772204
2022-05-28,2022-05-28,Run,426,3.10717,1852,9.93269,3,6.04066,21,162,4867,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6608340349
2022-05-27,2022-05-27,Run,405,3.1,1691,9.0914,0,6.59965,0,142,4520,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6606889711
2022-05-25,2022-05-25,Run,801,6.20547,3735,10.0315,1,5.98118,61,150,9802,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6601698406
2022-05-24,2022-05-24,Run,408,3.1,1731,9.30645,0,6.44714,0,142,4616,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6599462509
2022-05-22,2022-05-22,Run,420,3.1,1865,10.0269,0,5.98391,0,142,4936,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6595158784
2022-05-20,2022-05-20,Run,417,3.1,1827,9.82258,0,6.10837,0,142,4845,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6591327880
2022-05-20,2022-05-20,Run,394,3.10131,1839,9.88125,1,6.07211,46,149,4858,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6590976649
2022-05-17,2022-05-17,Run,840,6.20338,3843,10.3243,1,5.81153,58,151,10162,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6583933738
2022-05-16,2022-05-16,Run,395,3.10598,1777,9.53134,1,6.29502,62,145,4650,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6581390221
2022-05-14,2022-05-14,Run,419,3.1,1851,9.95161,0,6.02917,0,142,4903,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6578154748
