,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link,Calculated
316,2020-06-26,2020-06-26,Run,321,3.1,1762,9.47,5.04,6.34,11.89,130.0,4673.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4443893611,29.366666666666667
317,2020-06-26,2020-06-26,Run,60,0.56,312,9.24,2.75,6.49,21.81,116.0,763.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4442627593,5.2
318,2020-06-25,2020-06-25,Run,496,4.63,2633,9.48,0.44,6.33,135.42,145.0,7040.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4440427531,43.88333333333333
319,2020-06-24,2020-06-24,Run,438,4.06,2187,8.98,1.34,6.68,44.71,150.0,5907.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4436860714,36.45
320,2020-06-23,2020-06-23,Run,822,7.82,4546,9.69,1.25,6.19,48.18,130.0,12387.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4432518508,75.76666666666667
322,2020-06-21,2020-06-21,Run,158,1.57,815,8.61,2.45,6.97,24.45,144.0,2205.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4426877830,13.583333333333334
323,2020-06-20,2020-06-20,Run,517,5.02,2964,9.84,6.92,6.1,8.67,129.0,7906.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4423975759,49.4
324,2020-06-19,2020-06-19,Run,518,4.75,2816,9.89,0.69,6.07,87.34,148.0,7597.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4419912247,46.93333333333333
326,2020-06-18,2020-06-18,Run,238,2.2,1309,9.92,6.76,6.05,8.88,155.0,3454.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4418046862,21.816666666666666
327,2020-06-16,2020-06-16,Run,291,2.82,1553,9.17,0.87,6.54,69.09,150.0,4146.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4411208389,25.883333333333333
328,2020-06-15,2020-06-15,Run,426,4.02,2285,9.48,1.24,6.33,48.26,148.0,6202.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4405216552,38.083333333333336
330,2020-06-14,2020-06-14,Run,754,7.02,4187,9.94,0.88,6.04,68.24,151.0,11262.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4403462743,69.78333333333333
331,2020-06-14,2020-06-11,Run,797,7.26,4140,9.5,1.15,6.32,52.09,154.0,11214.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4403276296,69.0
332,2020-06-11,2020-06-11,Run,978,7.26,4306,9.89,0.0,6.07,0.0,104.45,11413.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4392658117,71.76666666666667
333,2020-06-08,2020-06-08,Run,439,4.02,2317,9.61,7.48,6.24,8.02,151.0,6298.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4380464041,38.61666666666667
334,2020-06-07,2020-06-07,Run,152,1.1,691,10.46,1.35,5.73,44.28,154.0,1863.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4377808825,11.516666666666667
336,2020-06-07,2020-06-07,Run,256,2.0,982,8.19,0.82,7.32,72.97,0.0,2685.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4377733381,16.366666666666667
338,2020-06-06,2020-06-06,Run,584,5.33,3167,9.9,1.22,6.06,49.16,153.0,8442.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4375020739,52.78333333333333
340,2020-06-05,2020-06-05,Run,266,2.27,1451,10.66,8.34,5.63,7.19,153.0,3893.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4372278406,24.183333333333334
342,2020-06-05,2020-06-05,Run,468,4.41,2491,9.4,0.95,6.38,63.1,153.0,6769.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4372197589,41.516666666666666
343,2020-06-04,2020-06-04,Run,109,1.01,653,10.74,1.18,5.59,50.98,150.0,1762.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4367305144,10.883333333333333
345,2020-06-04,2020-06-04,Run,540,5.02,2908,9.66,6.01,6.21,9.99,153.0,7851.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4367177404,48.46666666666667
346,2020-06-03,2020-06-03,Run,328,3.1,1585,8.51,1.87,7.05,32.03,160.0,4350.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4363449562,26.416666666666668
348,2020-06-02,2020-06-02,Run,142,1.03,646,10.45,0.8,5.74,75.34,0.0,1755.0,b'Slowww',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4359546487,10.766666666666667
349,2020-06-02,2020-06-02,Run,252,2.38,1405,9.84,5.8,6.1,10.35,151.0,3849.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4359375076,23.416666666666668
350,2020-05-30,2020-05-30,Run,1508,13.43,8767,10.87,0.13,5.52,448.07,145.0,23604.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4349658607,146.11666666666667
351,2020-05-28,2020-05-28,Run,409,3.1,1744,9.38,0.0,6.4,0.0,104.45,4647.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4340903212,29.066666666666666
352,2020-05-27,2020-05-27,Run,897,8.34,5055,10.1,0.84,5.94,71.25,152.0,14073.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4337024521,84.25
353,2020-05-26,2020-05-26,Run,109,1.01,608,10.01,1.89,5.99,31.77,149.0,1776.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4332551749,10.133333333333333
354,2020-05-26,2020-05-26,Run,118,1.17,676,9.65,0.46,6.22,129.28,139.0,1953.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4332374068,11.266666666666667
355,2020-05-25,2020-05-25,Run,187,1.68,1079,10.67,1.23,5.62,48.84,154.0,2980.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4330154017,17.983333333333334
357,2020-05-25,2020-05-25,Run,666,6.0,3529,9.79,0.99,6.13,60.39,154.0,9659.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4329965152,58.81666666666667
358,2020-05-24,2020-05-24,Run,676,6.58,4916,12.46,0.98,4.82,60.97,133.0,10923.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4327339651,81.93333333333334
359,2020-05-22,2020-05-22,Run,95,0.85,523,10.2,1.03,5.88,58.04,155.0,1437.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4319358928,8.716666666666667
360,2020-05-22,2020-05-22,Run,662,6.17,3394,9.17,4.89,6.54,12.27,159.0,9378.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4319161723,56.56666666666667
361,2020-05-21,2020-05-21,Run,350,3.35,1758,8.75,1.39,6.85,43.06,157.0,4948.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4314364087,29.3
362,2020-05-20,2020-05-20,Run,405,3.1,1698,9.13,0.0,6.57,0.0,104.45,4537.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4310011723,28.3
363,2020-05-19,2020-05-19,Run,401,3.1,1566,8.42,0.0,7.13,0.0,104.45,4221.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4305754999,26.1
364,2020-05-18,2020-05-18,Run,215,2.02,1027,8.47,2.83,7.08,21.18,161.0,2899.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4301768770,17.116666666666667
365,2020-05-16,2020-05-16,Run,758,6.91,4063,9.8,1.3,6.12,46.05,155.0,11290.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4295995630,67.71666666666667
366,2020-05-15,2020-05-15,Run,627,5.65,3153,9.31,1.63,6.45,36.9,162.0,8721.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4290368116,52.55
367,2020-05-12,2020-05-12,Run,757,7.02,3998,9.49,0.14,6.32,434.26,153.0,10975.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4277822962,66.63333333333334
369,2020-05-09,2020-05-09,Run,1063,10.0,5645,9.4,1.06,6.38,56.47,154.0,15387.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4268350531,94.08333333333333
370,2020-05-06,2020-05-06,Run,487,4.54,2496,9.15,0.81,6.56,73.76,156.0,7000.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4254712102,41.6
371,2020-05-04,2020-05-04,Run,370,3.52,1882,8.9,0.82,6.74,73.54,152.0,5211.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4248331660,31.366666666666667
373,2020-05-03,2020-05-03,Run,318,3.1,1704,9.15,0.87,6.56,69.08,158.0,4801.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4242713791,28.4
374,2020-05-02,2020-05-02,Run,459,4.27,2309,9.0,0.43,6.66,138.78,160.0,6298.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4239412297,38.483333333333334
375,2020-05-01,2020-05-01,Run,588,5.63,3120,9.23,1.1,6.5,54.69,151.0,8617.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4233564868,52.0
376,2020-04-29,2020-04-29,Run,341,3.2,1823,9.5,1.16,6.32,51.71,133.0,5060.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4226294881,30.383333333333333
377,2020-04-27,2020-04-27,Run,634,6.23,3628,9.7,0.93,6.19,64.52,137.0,10080.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4217579320,60.46666666666667
379,2020-04-26,2020-04-26,Run,409,4.03,2200,9.11,0.94,6.59,63.56,124.0,6017.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4214931577,36.666666666666664
381,2020-04-25,2020-04-25,Run,412,4.04,2074,8.56,0.41,7.01,147.68,155.0,5774.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4211464159,34.56666666666667
382,2020-04-24,2020-04-24,Run,512,4.82,2543,8.78,1.87,6.83,32.09,159.0,6922.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4207438339,42.38333333333333
