Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Guest,BE,Smart TV,0,ve,Verónica,view_video_info,title_results,2018-12-18 20:11:48
Guest,DE,Streaming Stick,0,ann,Anne with an E,play,video_info,2018-10-22 07:43:44
Guest,DE,Streaming Stick,0,ann,Anne with an E,view_video_info,title_results,2018-10-22 07:43:44
Guest,DE,Streaming Stick,0,bie,Benjamin Blümchen,view_video_info,title_results,2018-10-14 16:50:05
Guest,DE,Streaming Stick,0,bie,Benjamin Blümchen,play,video_info,2018-10-14 16:50:05
Guest,DE,Streaming Stick,0,bi,Angry Birds,play,video_info,2018-10-14 15:35:41
Guest,DE,Streaming Stick,0,bi,Angry Birds,view_video_info,title_results,2018-10-14 15:35:41
Guest,DE,Streaming Stick,0,gr,Gravity Falls,play,video_info,2018-10-12 15:20:28
Guest,DE,Streaming Stick,0,gr,Gravity Falls,view_video_info,title_results,2018-10-12 15:20:28
Guest,DE,,0,bi,Die Maus,play,video_info,2018-10-06 04:47:00
Guest,DE,,0,bi,Die Maus,view_video_info,title_results,2018-10-06 04:47:00
Guest,US,,0,an,The Andy Griffith Show,view_video_info,title_results,2018-09-18 13:27:21
Guest,US,,0,an,The Andy Griffith Show,play,video_info,2018-09-18 13:27:21
Guest,US,,0,bo,BoJack Horseman,play,video_info,2018-09-17 17:25:02
Guest,US,,0,bo,BoJack Horseman,view_video_info,title_results,2018-09-17 17:25:02
Guest,US,,0,bo,BoJack Horseman,view_video_info,title_results,2018-09-17 16:22:07
Guest,US,,0,bo,BoJack Horseman,play,video_info,2018-09-17 16:22:07
Guest,BE,Smart TV,0,rata,ratatouille,view_suggestion_info,suggestion_results,2018-08-14 14:21:11
Guest,BE,Smart TV,0,the e,the equalizer,view_video_info,title_results,2018-08-11 14:21:21
Guest,BE,Smart TV,0,the e,the equalizer,play,video_info,2018-08-11 14:21:21
Guest,BE,Smart TV,0,on,jane the virgin,play,video_info,2018-08-10 20:13:58
Guest,BE,Smart TV,0,on,jane the virgin,view_video_info,title_results,2018-08-10 20:13:58
Guest,BE,Smart TV,0,on,on my block,view_video_info,title_results,2018-08-10 20:13:42
Guest,BE,Smart TV,0,on,on my block,play,video_info,2018-08-10 20:13:42
Guest,DE,Streaming Stick,0,spo,spongebob squarepants,play,video_info,2018-08-03 10:38:06
Guest,DE,Streaming Stick,0,spo,spongebob squarepants,play,video_info,2018-08-03 10:37:51
Guest,DE,Streaming Stick,0,spo,spongebob schwammkopf,view_video_info,title_results,2018-08-03 10:37:51
Guest,DE,Streaming Stick,0,the ki,marcella,view_video_info,suggestion_title_results,2018-07-13 13:52:14
Guest,DE,Streaming Stick,0,the ki,marcella,play,suggestion_title_results,2018-07-13 13:52:14
Guest,DE,Streaming Stick,0,the ki,the killing,view_video_info,suggestion_title_results,2018-07-13 13:51:33
Guest,DE,Streaming Stick,0,the ki,the killing,play,video_info,2018-07-13 13:51:33
Guest,DE,Streaming Stick,0,the ki,the killing,view_suggestion_info,suggestion_results,2018-07-13 13:51:30
Guest,DE,Streaming Stick,0,hinter de,over the garden wall,play,video_info,2018-07-08 11:17:26
Guest,DE,Streaming Stick,0,hinter de,-1,play,video_info,2018-07-08 10:55:55
Guest,DE,Streaming Stick,0,hinter de,hinter der gartenmauer,view_video_info,title_results,2018-07-08 10:45:12
Guest,DE,Streaming Stick,0,hinter de,over the garden wall,play,video_info,2018-07-08 10:45:12
Guest,DE,Streaming Stick,0,hinter de,over the garden wall,play,video_info,2018-07-08 10:43:47
Guest,DE,Streaming Stick,0,hinter de,hinter der gartenmauer,view_video_info,title_results,2018-07-08 10:43:47
Guest,DE,Streaming Stick,0,hinter de,hinter der gartenmauer,view_video_info,title_results,2018-07-08 08:49:18
Guest,DE,Streaming Stick,0,hinter de,over the garden wall,play,video_info,2018-07-08 08:49:18
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-07-06 00:21:39
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-07-06 00:19:55
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-07-06 00:17:55
Guest,MO,Android Tablet,0,war,american experience: the battle of chosin,view_video_info,video_info,2018-07-05 17:50:43
Guest,MO,Android Tablet,0,war,american experience: the battle of chosin,play,video_info,2018-07-05 17:46:51
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-07-05 17:46:08
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-07-05 17:45:29
Guest,MO,Android Tablet,0,war,mad max: fury road,view_video_info,title_results,2018-07-05 17:44:25
Guest,DE,Streaming Stick,0,da,dark,play,video_info,2018-07-03 15:32:04
Guest,DE,Streaming Stick,0,da,dark,view_video_info,title_results,2018-07-03 15:32:04
Guest,BE,Smart TV,0,b,black mirror,play,video_info,2018-07-03 13:18:04
Guest,BE,Smart TV,0,b,black mirror,play,video_info,2018-07-03 12:47:25
Guest,BE,Smart TV,0,b,black mirror,play,video_info,2018-07-03 12:46:56
Guest,BE,Smart TV,0,b,black mirror,view_video_info,title_results,2018-07-03 12:46:56
Guest,DE,Streaming Stick,0,j,jessie,play,video_info,2018-06-29 20:46:35
Guest,DE,Streaming Stick,0,j,jessie,view_video_info,title_results,2018-06-29 20:46:35
Guest,MO,Android Tablet,0,war,troy: fall of a city,play,video_info,2018-06-25 18:59:40
Guest,MO,Android Tablet,0,war,troy: fall of a city,play,video_info,2018-06-25 18:40:08
Guest,MO,Android Tablet,0,war,-1,view_video_info,suggestion_title_results,2018-06-25 18:39:19
Guest,BE,Smart TV,0,nake,naked,view_video_info,title_results,2018-06-23 20:29:26
Guest,BE,Smart TV,0,nake,naked,play,video_info,2018-06-23 20:29:26
Guest,BE,Smart TV,0,pele,pain & gain,view_video_info,title_results,2018-06-23 20:26:33
Guest,BE,Smart TV,0,pele,pain & gain,play,video_info,2018-06-23 20:26:33
Guest,BE,Smart TV,0,pele,pele,view_suggestion_info,suggestion_results,2018-06-23 20:26:20
Guest,BE,Smart TV,0,b,black mirror,play,video_info,2018-06-22 10:45:43
