Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dad,Season 1 Teaser : Yakamoz S-245,Edge OSS - Mac (Cadmium),2022-05-12 02:35:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":7,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":739,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":3183,""mediaOffsetMs"":2192}]"
Dad,Villain Clip: Operation Mincemeat,Edge OSS - Mac (Cadmium),2022-05-12 02:35:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":708,""mediaOffsetMs"":1}]"
Dad,Villain Clip: Operation Mincemeat,Edge OSS - Mac (Cadmium),2022-05-12 02:35:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":47,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":396,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":3324,""mediaOffsetMs"":2711},{""eventType"":""playing"",""sessionOffsetMs"":6517,""mediaOffsetMs"":2863},{""eventType"":""paused"",""sessionOffsetMs"":6954,""mediaOffsetMs"":3107},{""eventType"":""playing"",""sessionOffsetMs"":22511,""mediaOffsetMs"":3293},{""eventType"":""paused"",""sessionOffsetMs"":22674,""mediaOffsetMs"":3365},{""eventType"":""playing"",""sessionOffsetMs"":22724,""mediaOffsetMs"":3440},{""eventType"":""paused"",""sessionOffsetMs"":26302,""mediaOffsetMs"":6798},{""eventType"":""stopped"",""sessionOffsetMs"":54426,""mediaOffsetMs"":7026}]"
Dad,Another Life: Season 1_VAR2-RECIPE-2_EDITOR2,Edge OSS - Mac (Cadmium),2022-05-12 02:35:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":872,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2691,""mediaOffsetMs"":1502}]"
Dad,"Another Life: Season 2: ""Live to Fight Another Day""",Edge OSS - Mac (Cadmium),2022-05-12 02:35:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":109360},{""eventType"":""playing"",""sessionOffsetMs"":2307,""mediaOffsetMs"":109360},{""eventType"":""paused"",""sessionOffsetMs"":3628,""mediaOffsetMs"":110606},{""eventType"":""stopped"",""sessionOffsetMs"":3807,""mediaOffsetMs"":110619}]"
Dad,Season 7 Supporting Character Clip 2: Grace and Frankie,Amazon FTVET31DOVI2020 Smart TV,2022-05-08 23:45:11,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":14379,""mediaOffsetMs"":0}]"
Dad,Season 2 Plot Clip: Russian Doll,Amazon FTVET31DOVI2020 Smart TV,2022-05-03 23:19:44,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":10176,""mediaOffsetMs"":0}]"
Dad,Season 4 Part 2 Villain / Antagonist Clip: Ozark,Apple iPhone 11,2022-05-03 05:01:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":6654,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":12654,""mediaOffsetMs"":6000},{""eventType"":""stopped"",""sessionOffsetMs"":14654,""mediaOffsetMs"":8000}]"
Mom,Season 1 Plot Clip: Heartstopper,Amazon FTVET31DOVI2020 Smart TV,2022-05-22 16:23:29,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2984,""mediaOffsetMs"":0}]"
Mom,Season 1 Plot Clip: Heartstopper,Amazon FTVET31DOVI2020 Smart TV,2022-05-22 14:56:25,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":11482,""mediaOffsetMs"":0}]"
