Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I’m going home.,false,tvui,2018-12-23 18:44:58
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We kick Aiden’s butt.,false,tvui,2018-12-23 18:43:10
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"No, it’s your fault.",false,tvui,2018-12-23 18:41:31
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Back Lukas up,true,tvui,2018-12-23 18:40:30
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,The people need it.,true,tvui,2018-12-23 18:38:54
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,The Eversource makes eggs?,true,tvui,2018-12-23 18:37:20
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Lever Slot,true,tvui,2018-12-23 18:35:29
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Crafting Table,true,tvui,2018-12-23 18:34:48
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Bookcase,true,tvui,2018-12-23 18:34:08
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Dry Bush,true,tvui,2018-12-23 18:33:29
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Lever Slot,true,tvui,2018-12-23 18:32:53
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Cobblestone,true,tvui,2018-12-23 18:32:01
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Supply Door,true,tvui,2018-12-23 18:31:11
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Petra, you trust him?",true,tvui,2018-12-23 18:30:09
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Aiden can’t get it.,true,tvui,2018-12-23 18:28:45
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,It’s the right thing.,true,tvui,2018-12-23 18:27:18
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,He’s just a liar.,true,tvui,2018-12-23 18:25:49
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We can help you.,true,tvui,2018-12-23 18:23:05
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,He stole from us.,true,tvui,2018-12-23 18:20:59
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Shut up, both of you.",true,tvui,2018-12-23 18:19:30
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Help Ivor,true,tvui,2018-12-23 18:17:36
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You can trust me.,true,tvui,2018-12-23 18:14:52
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Innkeeper,true,tvui,2018-12-23 18:13:17
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Townspeople,true,tvui,2018-12-23 18:12:11
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Build Site,true,tvui,2018-12-23 18:10:51
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Castle Guard,true,tvui,2018-12-23 18:09:55
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Crafting Table,true,tvui,2018-12-23 18:08:39
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Is something wrong?,true,tvui,2018-12-23 18:06:44
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Maybe Aiden’s there.,true,tvui,2018-12-23 18:04:55
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You’ll regret that.,true,tvui,2018-12-23 18:02:57
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,He’s funny.,true,tvui,2018-12-23 18:00:28
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,What is that?,true,tvui,2018-12-23 17:59:06
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I really miss him.,true,tvui,2018-12-23 17:57:22
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Tear it down.,true,tvui,2018-12-23 17:54:50
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,This place is awesome.,true,tvui,2018-12-23 17:52:51
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You’re not worth it.,true,tvui,2018-12-23 17:50:32
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Way ahead of you.,true,tvui,2018-12-23 17:48:45
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,It’s mine now.,true,tvui,2018-12-23 17:45:35
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I was clueless.,true,tvui,2018-12-23 17:44:00
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Let’s find treasure!,true,tvui,2018-12-23 17:42:41
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You could travel.,true,tvui,2018-12-23 17:37:05
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Relax, Founder.",true,tvui,2018-12-23 17:34:44
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Take it slow.,true,tvui,2018-12-23 17:32:24
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I’ll kick your butt.,false,tvui,2018-12-23 17:28:27
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Potion of Invisibility,false,tvui,2018-12-23 17:26:05
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,It’s too dangerous.,false,tvui,2018-12-23 17:22:01
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We kick Aiden’s butt.,false,tvui,2018-12-23 17:19:41
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I’m glad you’re okay.,false,tvui,2018-12-23 17:18:29
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"No, it’s your fault.",false,tvui,2018-12-23 17:17:23
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Save the Founder,true,tvui,2018-12-23 17:16:21
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,The people need it.,true,tvui,2018-12-23 17:14:46
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,These generate resources.,true,tvui,2018-12-23 17:13:11
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Lever Slot,true,tvui,2018-12-23 17:11:19
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Lever Slot,true,tvui,2018-12-23 17:10:39
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Crafting Table,true,tvui,2018-12-23 17:09:59
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Bookcase,true,tvui,2018-12-23 17:09:18
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Cobblestone,true,tvui,2018-12-23 17:08:26
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Dry Bush,true,tvui,2018-12-23 17:07:47
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Supply Door,true,tvui,2018-12-23 17:06:58
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Look before you punch.,false,tvui,2018-12-23 17:05:48
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Taking it is wrong.,false,tvui,2018-12-23 17:04:18
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Aiden is much worse.,false,tvui,2018-12-23 17:02:47
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We’re not criminals.,false,tvui,2018-12-23 17:01:13
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You just want power.,false,tvui,2018-12-23 16:58:50
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Aiden is using you.,false,tvui,2018-12-23 16:56:43
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Yeah, Aiden’s our focus.",false,tvui,2018-12-23 16:55:10
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Help Ivor,true,tvui,2018-12-23 16:53:17
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Don’t lie to me.,true,tvui,2018-12-23 16:50:31
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Innkeeper,true,tvui,2018-12-23 16:48:56
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Build Site,true,tvui,2018-12-23 16:47:36
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Castle Guard,true,tvui,2018-12-23 16:46:42
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Garden,true,tvui,2018-12-23 16:45:44
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Is something wrong?,true,tvui,2018-12-23 16:43:50
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Is that a city?,true,tvui,2018-12-23 16:41:57
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You’ll regret that.,true,tvui,2018-12-23 16:40:00
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,He’s smart.,true,tvui,2018-12-23 16:37:28
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,What is that?,true,tvui,2018-12-23 16:36:05
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I still feel guilty.,true,tvui,2018-12-23 16:34:26
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Tear it down.,true,tvui,2018-12-23 16:31:54
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Time to party.,true,tvui,2018-12-23 16:29:51
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You’re not worth it.,true,tvui,2018-12-23 16:27:32
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"You try it, Axel.",true,tvui,2018-12-23 16:25:42
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,What is this?,true,tvui,2018-12-23 16:22:27
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,I was clueless.,true,tvui,2018-12-23 16:20:54
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,For glory!,true,tvui,2018-12-23 16:19:32
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Build something new.,false,tvui,2018-12-23 16:14:00
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Come on, Milo.",false,tvui,2018-12-23 16:11:39
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Have some fun.,false,tvui,2018-12-23 16:09:22
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You could travel.,false,tvui,2018-12-23 16:05:02
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Relax, Founder.",false,tvui,2018-12-23 16:02:47
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Take it slow.,false,tvui,2018-12-23 16:00:41
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_interrupted,"Give up, Aiden!",false,tvui,2018-12-23 15:56:49
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_interrupted,Potion of Speed,false,tvui,2018-12-23 15:54:24
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,It’s my portal.,false,tvui,2018-12-21 06:57:45
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Bring everyone here.,false,tvui,2018-12-21 06:55:48
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,It doesn’t matter.,false,tvui,2018-12-21 06:54:07
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Back Lukas up,false,tvui,2018-12-21 06:53:06
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We’ll take the chicken.,false,tvui,2018-12-21 06:51:31
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,The Eversource makes eggs?,false,tvui,2018-12-21 06:49:56
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Lever Slot,true,tvui,2018-12-21 06:48:05
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Crafting Table,true,tvui,2018-12-21 06:47:25
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Cobblestone,true,tvui,2018-12-21 06:46:33
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Bookcase,true,tvui,2018-12-21 06:45:52
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Dry Bush,true,tvui,2018-12-21 06:45:13
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Strange Wall,false,tvui,2018-12-21 06:44:24
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Supposedly?,false,tvui,2018-12-21 06:42:47
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,We had a deal.,false,tvui,2018-12-21 06:40:56
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Craft Anvil,false,tvui,2018-12-21 06:39:19
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You have a plan?,false,tvui,2018-12-21 06:37:42
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,"Yeah, sure, whatever.",false,tvui,2018-12-21 06:35:44
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Go with Milo,false,tvui,2018-12-21 06:34:27
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,You can trust me.,false,tvui,2018-12-21 06:31:43
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Innkeeper,true,tvui,2018-12-21 06:30:08
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Townspeople,false,tvui,2018-12-21 06:29:02
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Build Site,true,tvui,2018-12-21 06:27:41
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Castle Guard,true,tvui,2018-12-21 06:26:46
Tree,"Minecraft: Story Mode: Season 1: ""Order Up!""",countdown_complete,Crafting Table,false,tvui,2018-12-21 06:25:28
